task_id,trial,step_idx,wall_time_seconds,llm_latency_seconds,prompt_tokens,completion_tokens,num_tool_calls,tool_stall_time_seconds,gpu_memory_before_mb,gpu_memory_after_mb,kv_cache_estimate_mb,tool_idle_window_seconds
0,0,1,6.7250539779197425,,,,0,0,,,,0.0
0,0,2,2.573677732842043,2.5577873019501567,4944,37,0,0,7680.46875,7680.5068359375,434.53125,0.0
0,0,3,0.7289650549646467,,,,0,0,,,,0.0
0,0,4,2.0957226289901882,2.082411272916943,5004,25,1,0.0002598930150270462,7680.4697265625,7680.50830078125,439.8046875,0.013311356073245406
0,0,5,0.0005901269614696503,,,,0,0,,,,0.0
0,0,6,11.33327931794338,11.317932266974822,5342,245,0,0,7680.474609375,7680.517578125,469.51171875,0.0
0,0,7,1.809345783898607,,,,0,0,,,,0.0
0,0,8,2.2171657539438456,2.2017403340432793,5634,24,1,0.0005803490057587624,7680.4794921875,7680.52294921875,495.17578125,0.01542541990056634
0,0,9,0.0009031009394675493,,,,0,0,,,,0.0
0,0,10,4.301037292927504,4.2840514678973705,5996,72,0,0,7680.484375,7680.53076171875,526.9921875,0.0
0,0,11,1.8858525978866965,,,,0,0,,,,0.0
0,0,12,2.528623308055103,2.5112191799562424,6117,29,0,0,7680.486328125,7680.53369140625,537.626953125,0.0
0,0,13,0.36965090804733336,,,,0,0,,,,0.0
1,0,1,2.03789627016522,,,,0,0,,,,0.0
1,0,2,2.8500809450633824,2.8382973331026733,4901,43,0,0,7680.4677734375,7680.505859375,430.751953125,0.0
1,0,3,2.0599338449537754,,,,0,0,,,,0.0
1,0,4,2.3420676419045776,2.3287981059402227,4999,30,1,0.00026772706769406796,7680.4697265625,7680.50830078125,439.365234375,0.013269535964354873
1,0,5,0.0005776342004537582,,,,0,0,,,,0.0
1,0,6,2.20014471700415,2.1704603859689087,5463,24,1,0.00023848190903663635,7680.4765625,7680.5185546875,480.146484375,0.029684331035241485
1,0,7,0.0005491299089044333,,,,0,0,,,,0.0
1,0,8,2.3778405520133674,2.3633397021330893,5884,26,1,0.00022324197925627232,7680.482421875,7680.52783203125,517.1484375,0.01450084988027811
1,0,9,0.0005254349671304226,,,,0,0,,,,0.0
1,0,10,2.4810265791602433,2.4673334290273488,6211,26,1,0.0002242040354758501,7680.48828125,7680.5361328125,545.888671875,0.013693150132894516
1,0,11,0.0005322981160134077,,,,0,0,,,,0.0
1,0,12,2.577395521104336,2.561525347875431,6555,26,1,0.00022374396212399006,7680.4931640625,7680.54345703125,576.123046875,0.015870173228904605
1,0,13,0.0005370769649744034,,,,0,0,,,,0.0
1,0,14,2.700353882042691,2.6846527489833534,6898,27,1,0.00023117801174521446,7680.498046875,7680.55126953125,606.26953125,0.015701133059337735
1,0,15,0.0005375479813665152,,,,0,0,,,,0.0
1,0,16,12.480281825875863,12.46421178500168,7261,259,0,0,7680.50390625,7680.5615234375,638.173828125,0.0
1,0,17,2.414988782024011,,,,0,0,,,,0.0
1,0,18,2.896670615999028,2.880979221081361,7582,26,1,0.0005461049731820822,7680.5087890625,7680.56689453125,666.38671875,0.015691394917666912
1,0,19,0.0008548090700060129,,,,0,0,,,,0.0
1,0,20,5.107925544027239,5.0929620480164886,7969,76,0,0,7680.5146484375,7680.576171875,700.400390625,0.0
1,0,21,1.9388931510038674,,,,0,0,,,,0.0
1,0,22,3.203834648942575,3.1889992558863014,8095,29,0,0,7680.5166015625,7680.57861328125,711.474609375,0.0
1,0,23,1.3013236180413514,,,,0,0,,,,0.0
2,0,1,0.863984792958945,,,,0,0,,,,0.0
